1H;00;4970;"3";"";1802;1200;;;0;0;"Mastercard auslandeinsatz";"";0;EUR;1;EUR;0
99H;00;4925;"3";"";1802;1200;;;0;0;"Mastercard amazon web service";"";0;EUR;99;EUR;0
1H;00;4970;"3";"";1802;1200;;;0;0;"Mastercard auslandeinsatz";"";0;EUR;1;EUR;0
5779H;00;1508;"3";"";1802;1200;;;0;0;"paypal manning pub";"";0;EUR;5779;EUR;0
58H;00;4970;"3";"";1802;1200;;;0;0;"Mastercard auslandeinsatz";"";0;EUR;58;EUR;0
110H;00;4925;"3";"";1802;1200;;;0;0;"Mastercard amazon web einsatz";"";0;EUR;110;EUR;0
1H;00;4970;"3";"";1802;1200;;;0;0;"Mastercard auslandeinsatz";"";0;EUR;1;EUR;0
4680H;01;4806;"3";"";1802;1200;;;0;0;"amazon wireless adapter (ausla";"";0;EUR;4680;EUR;0
2342H;09;4806;"3";"";1802;1200;;;0;0;"amazon wlan router";"";1900;EUR;2342;EUR;0
411H;09;4806;"3";"";1802;1200;;;0;0;"lets-sell usb datenkabel";"";1900;EUR;411;EUR;0
6396H;01;4806;"3";"";1802;1200;;;0;0;"amazon adapter (ausland)";"";0;EUR;6396;EUR;0
3996H;01;4806;"3";"";1802;1200;;;0;0;"amzonlogi link tastatur (ausla";"";0;EUR;3996;EUR;0
2097H;00;4985;"3";"";1802;1200;;;0;0;"Mastercard amzon maus";"";0;EUR;2097;EUR;0
16855H;09;4806;"3";"";1802;1200;;;0;0;"avc gmbh micro netzteil raspbe";"";1900;EUR;16855;EUR;0
7245H;09;4530;"3";"";1802;1200;;;0;0;"shell station diesel";"";1900;EUR;7245;EUR;0
1600H;01;4663;"3";"";1802;1200;;;0;0;"deutsche bahn";"";0;EUR;1600;EUR;0
6390H;00;4910;"3";"";1802;1200;;;0;0;"deutsche post espress gebühren";"";0;EUR;6390;EUR;0
2000000S;00;1360;"3";"";1802;1200;;;0;0;"umbuchung";"";0;EUR;2000000;EUR;0
3312H;09;4920;"3";"";2102;1200;;;0;0;"telekom mobilfunk";"";1900;EUR;3312;EUR;0
7500H;00;1508;"3";"";2102;1200;;;0;0;"barabhebung";"";0;EUR;7500;EUR;0
79200H;00;4668;"3";"";2502;1200;;;0;0;"fahrtkosten 01/2013";"";0;EUR;79200;EUR;0
99960H;09;4210;"3";"";2502;1200;;;0;0;"miete 03/13";"";1900;EUR;99960;EUR;0
5012H;09;4530;"3";"";2702;1200;;;0;0;"shell station diesel";"";1900;EUR;5012;EUR;0
2000000H;00;1360;"2";"";2002;1252;;;0;0;"umbuchung";"";0;EUR;2000000;EUR;0
500000H;00;1360;"2";"";1502;1252;;;0;0;"umbuchung";"";0;EUR;500000;EUR;0
1400000H;09;320;"0";"";1602;1000;;;0;0;"ah isernhagen bmw 325 d gebrau";"";1900;EUR;1400000;EUR;0
1400S;00;27;"Anl0320133";"";3103;4822;;;0;0;"Abschreibung";"";0;EUR;1400;EUR;0
8200S;00;200;"Anl0320133";"";3103;4830;;;0;0;"Abschreibung";"";0;EUR;8200;EUR;0
40400S;00;320;"Anl0320133";"";3103;4832;;;0;0;"Abschreibung";"";0;EUR;40400;EUR;0
2500S;00;420;"Anl0320133";"";3103;4830;;;0;0;"Abschreibung";"";0;EUR;2500;EUR;0
410000H;00;4124;"0";"";3103;1755;;;0;0;"03/13";"";0;EUR;410000;EUR;0
354334S;00;1740;"0";"";3103;1755;;;0;0;"03/13";"";0;EUR;354334;EUR;0
55666S;00;1741;"0";"";3103;1755;;;0;0;"03/13";"";0;EUR;55666;EUR;0
145H;00;4910;"0";"";0401;1000;;;0;0;"pwz";"";0;EUR;145;EUR;0
495H;09;4930;"0";"";0801;1000;;;0;0;"copylight stifte";"";1900;EUR;495;EUR;0
175000S;00;1360;"0";"";2401;1000;;;0;0;"Bareinzahlung";"";0;EUR;175000;EUR;0
580H;00;4910;"0";"";0402;1000;;;0;0;"pwz";"";0;EUR;580;EUR;0
1400000S;00;1360;"0";"";1502;1000;;;0;0;"bareinzahlung";"";0;EUR;1400000;EUR;0
1000H;00;4663;"0";"";1502;1000;;;0;0;"taxibetrieb huth";"";0;EUR;1000;EUR;0
2200H;08;4580;"0";"";2102;1000;;;0;0;"autoschilder werkstatt  kennze";"";700;EUR;2200;EUR;0
60H;00;4530;"0";"";0703;1000;;;0;0;"parkgebühren";"";0;EUR;60;EUR;0
5510S;00;2650;"3";"";0103;1252;;;0;0;"zinsen für guthaben";"";0;EUR;5510;EUR;0
1378H;00;2213;"3";"";0703;1252;;;0;0;"sparkasse";"";0;EUR;1378;EUR;0
75H;00;2216;"3";"";0703;1252;;;0;0;"sparkasse";"";0;EUR;75;EUR;0
4262S;00;2650;"4";"";3103;1252;;;0;0;"zinsen für guthaben";"";0;EUR;4262;EUR;0
1066H;00;2213;"4";"";0703;1252;;;0;0;"sparkasse";"";0;EUR;1066;EUR;0
58H;00;2216;"4";"";0703;1252;;;0;0;"sparkasse";"";0;EUR;58;EUR;0
336S;00;4985;"4";"";1802;1570;;;0;0;"Mastercard amzon maus umb. vst";"";0;EUR;336;EUR;0
898S;00;4806;"4";"";1401;1570;;;0;0;"mastercard digital river  Inte";"";0;EUR;898;EUR;0
556H;09;4970;"3";"";0103;1200;;;0;0;"kreditprovision";"";1900;EUR;556;EUR;0
1166H;09;4970;"3";"";1401;1200;;;0;0;"kontoführung 02/13";"";1900;EUR;1166;EUR;0
190900H;00;1781;"3";"";0103;1200;;;0;0;"ust sondervz 13";"";0;EUR;190900;EUR;0
136513H;00;1736;"3";"";0103;1200;;;0;0;"ust vz 12/12";"";0;EUR;136513;EUR;0
6633H;09;4530;"3";"";0103;1200;;;0;0;"marktkauf diesel";"";1900;EUR;6633;EUR;0
353134H;00;1740;"3";"";0403;1200;;;0;0;"Gehalt Bintou Mady 02/13";"";0;EUR;353134;EUR;0
1725S;00;2615;"3";"";0403;1200;;;0;0;"sparkasse dividende #44719859";"";0;EUR;1725;EUR;0
259H;00;2219;"3";"";0403;1200;;;0;0;"sparkasse bielefeld quellenste";"";0;EUR;259;EUR;0
5500H;09;4920;"3";"";0803;1200;;;0;0;"Telekom 03/13";"";1900;EUR;5500;EUR;0
1460499S;00;8400;"1-491060";"";0503;1200;;;0;0;"GULP consulting vom 6.2.13";"";1900;EUR;1460499;EUR;0
3927H;09;4390;"4";"";1203;1200;;;0;0;"Bundesanzeiger verlag veröffen";"";1900;EUR;3927;EUR;0
11200H;00;1700;"4";"";1203;1200;;;0;0;"jaeckel chr. buha und lohn 201";"";0;EUR;11200;EUR;0
2128H;00;1570;"4";"";1203;1200;;;0;0;"jaeckel chr. vst aus buha 2012";"";0;EUR;2128;EUR;0
5624H;09;4530;"4";"";1203;1200;;;0;0;"aral diesel";"";1900;EUR;5624;EUR;0
139499H;00;1736;"4";"";1303;1200;;;0;0;"ust vz 12/12 ber.";"";0;EUR;139499;EUR;0
56866H;00;1741;"4";"";1303;1200;;;0;0;"Lst 02/13";"";0;EUR;56866;EUR;0
17400H;00;4380;"4";"";1403;1200;;;0;0;"IHK beitrag 2013";"";0;EUR;17400;EUR;0
3179H;00;1508;"4";"";1803;1200;;;0;0;"Mastercard amazon mktlce";"";0;EUR;3179;EUR;0
3495H;08;4940;"4";"";1403;1200;;;0;0;"Mastercard amazon  bücher";"";700;EUR;3495;EUR;0
9990H;09;4985;"4";"";1403;1200;;;0;0;"Mastercard Getgoods.de rikomag";"";1900;EUR;9990;EUR;0
24062H;01;3200;"4";"";1403;1200;;;0;0;"MastercardHardkernelc bestand ";"";0;EUR;24062;EUR;0
2688H;01;4940;"4";"";1403;1200;;;0;0;"Mastercard book depostiroy buc";"";0;EUR;2688;EUR;0
3790H;01;4940;"4";"";1403;1200;;;0;0;"Mastercard book depostiroy buc";"";0;EUR;3790;EUR;0
101H;00;4925;"4";"";1403;1200;;;0;0;"Mastercard amazon web einsatz";"";0;EUR;101;EUR;0
1H;00;4970;"4";"";1403;1200;;;0;0;"Mastercard auslandeinsatz";"";0;EUR;1;EUR;0
4128H;01;4940;"4";"";1403;1200;;;0;0;"Mastercard amazon buch";"";0;EUR;4128;EUR;0
2045H;00;4970;"4";"";1403;1200;;;0;0;"Mastercard jahresbeitrag";"";0;EUR;2045;EUR;0
4542H;09;4530;"4";"";1803;1200;;;0;0;"tankstelle diesel";"";1900;EUR;4542;EUR;0
4280H;09;4530;"4";"";1803;1200;;;0;0;"shell station diesel";"";1900;EUR;4280;EUR;0
3013H;09;4920;"4";"";1803;1200;;;0;0;"telekom mobilfunk";"";1900;EUR;3013;EUR;0
2940H;01;4530;"4";"";1903;1200;;;0;0;"aral diesel";"";0;EUR;2940;EUR;0
4978H;09;4530;"4";"";2503;1200;;;0;0;"tankstelle diesel";"";1900;EUR;4978;EUR;0
3186H;09;4530;"4";"";2703;1200;;;0;0;"aral autocenter diesel";"";1900;EUR;3186;EUR;0
18499H;00;1736;"0";"";1503;1590;;;0;0;"ust vz 12/12 ber.";"";0;EUR;18499;EUR;0
18499S;00;1780;"0";"";1503;1590;;;0;0;"ust 01/13";"";0;EUR;18499;EUR;0
1300S;00;27;"Anl0420134";"";3004;4822;;;0;0;"Abschreibung";"";0;EUR;1300;EUR;0
8100S;00;200;"Anl0420134";"";3004;4830;;;0;0;"Abschreibung";"";0;EUR;8100;EUR;0
40400S;00;320;"Anl0420134";"";3004;4832;;;0;0;"Abschreibung";"";0;EUR;40400;EUR;0
2400S;00;420;"Anl0420134";"";3004;4830;;;0;0;"Abschreibung";"";0;EUR;2400;EUR;0
410000H;00;4124;"0";"";3004;1755;;;0;0;"04/13";"";0;EUR;410000;EUR;0
1062400H;00;970;"0";"";3004;1755;;;0;0;"tantieme 04/13";"";0;EUR;1062400;EUR;0
385415S;00;1741;"0";"";3004;1755;;;0;0;"04/13";"";0;EUR;385415;EUR;0
1086985S;00;1740;"0";"";3004;1755;;;0;0;"04/13";"";0;EUR;1086985;EUR;0
220H;08;4940;"0";"";2304;1000;;;0;0;"presse buch";"";700;EUR;220;EUR;0
595H;09;4970;"4";"";0204;1200;;;0;0;"kreditprovision";"";1900;EUR;595;EUR;0
1178H;09;4970;"4";"";2304;1200;;;0;0;"kontoführung 03/13";"";1900;EUR;1178;EUR;0
202907H;09;4957;"4";"";0204;1200;;;0;0;"jaeckel chr. abschluss 2011";"";1900;EUR;202907;EUR;0
6640H;09;4530;"5";"";0404;1200;;;0;0;"jet tankstelle diesel";"";1900;EUR;6640;EUR;0
99960H;09;4210;"5";"";0804;1200;;;0;0;"miete 04/13";"";1900;EUR;99960;EUR;0
354334H;00;1740;"5";"";0804;1200;;;0;0;"Gehalt Bintou Mady 03/13";"";0;EUR;354334;EUR;0
5391H;09;4920;"5";"";0904;1200;;;0;0;"Telekom 04/13";"";1900;EUR;5391;EUR;0
5230H;09;4530;"5";"";0904;1200;;;0;0;"marktkauf diesel";"";1900;EUR;5230;EUR;0
1444589S;00;8400;"2013/02";"";1004;1200;;;0;0;"GULP consulting";"";1900;EUR;1444589;EUR;0
55666H;00;1741;"5";"";1204;1200;;;0;0;"Lst 03/13";"";0;EUR;55666;EUR;0
83880H;00;4520;"5";"";1204;1200;;;0;0;"direct line kfz vers. BI- KK 3";"";0;EUR;83880;EUR;0
